id,question,choice1,choice2,choice3,,
1,"Do you favor, oppose, or neither favor nor oppose the government trying to reduce the difference in incomes between the richest and poorest households? ",Favor,Oppose,Neither favor nor oppose,,
2,"Do you favor, oppose, or neither favor nor oppose requiring employers to pay women and men the same amount for the same work? ",Favor,Oppose,Neither favor nor oppose,,
3,"Some people have suggested placing new limits on foreign imports in order to protect American jobs. Others say that such limits would raise consumer prices and hurt American exports. Do you favor, oppose, or neither favor nor oppose placing new limits on imports?",Favor,Oppose,Neither favor nor oppose,,
4,"Do you favor, oppose, or neither favor nor oppose allowing universities to increase the number of black students studying at their schools by considering race along with other factors when choosing students? ",Favor,Oppose,Neither favor nor oppose,,
5,"Do you favor, oppose, or neither favor nor oppose requiring employers to offer paid leave to parents of new children? ",Favor,Oppose,Neither favor nor oppose,,
6,"Do you favor, oppose, or neither favor nor oppose building a wall on the U.S. border with Mexico? ",Favor,Oppose,Neither favor nor oppose,,
7,"Some people have proposed that the U.S. Constitution should be changed so that the children of unauthorized immigrants do not automatically get citizenship if they are born in this country. Do you favor, oppose, or neither favor nor oppose this proposal? ",Favor,Oppose,Neither favor nor oppose,,
8,"Do you favor, oppose, or neither favor nor oppose the death penalty for persons convicted of murder? ",Favor,Oppose,Neither favor nor oppose,,
9,"Do you favor, oppose, or neither favor nor oppose laws to protect gays and lesbians against job discrimination? ",Favor,Oppose,Neither favor nor oppose,,
10,"Do you favor, oppose, or neither favor nor oppose the U.S. sending ground troops to fight Islamic militants, such as ISIS, in Iraq and Syria? ",Favor,Oppose,Neither favor nor oppose,,